,path,created_at,imaged_at,x,y,z,x',y',z',impulse,speed,vector,lat,lng
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.400000,5.999999999999987,110,-17,191,-6,-8,17,19.72308292331602,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.450000,6.0499999999999865,130,-6,177,20,11,-14,26.77685567799177,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.500000,6.099999999999986,130,-15,243,0,-9,66,66.61080993352356,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.550000,6.149999999999986,126,-8,238,-4,7,-5,9.486832980505138,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.600000,6.199999999999986,97,-32,218,-29,-24,-20,42.62628297189423,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.650000,6.249999999999986,120,-15,236,23,17,18,33.793490497431605,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.700000,6.299999999999986,137,-12,229,17,3,-7,18.627936010197157,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.750000,6.349999999999985,127,-26,239,-10,-14,10,19.8997487421324,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.800000,6.399999999999985,152,-27,166,25,-1,-73,77.1686464828819,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.850000,6.449999999999985,107,-6,225,-45,21,59,77.1167945391923,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.900000,6.499999999999985,107,-6,225,0,0,0,0.0,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.950000,6.549999999999985,88,-7,247,-19,-1,22,29.086079144497972,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30,6.5999999999999845,114,-8,193,26,-1,-54,59.941638282582836,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.055555,6.649999999999984,114,-8,193,0,0,0,0.0,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.111111,6.699999999999984,135,-9,212,21,-1,19,28.337254630609507,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.166666,6.749999999999984,111,-12,244,-24,-3,32,40.11234224026316,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.222222,6.799999999999984,75,-23,232,-36,-11,-12,39.50949253027682,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.277777,6.849999999999984,102,-48,187,27,-25,-45,58.12916651733448,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.333333,6.8999999999999835,118,-9,285,16,39,98,106.68176976409794,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.388888,6.949999999999983,163,-6,297,45,3,12,46.66904755831214,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.444444,6.999999999999983,140,29,291,-23,35,-6,42.30839160261236,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.500000,7.049999999999983,91,-10,230,-49,-39,-61,87.42425292789181,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.555555,7.099999999999983,124,34,259,33,44,29,62.177166226839255,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.611111,7.149999999999983,110,20,317,-14,-14,58,61.28621378417825,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.666666,7.199999999999982,110,20,317,0,0,0,0.0,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.722222,7.249999999999982,84,21,237,-26,1,-80,84.12490713219242,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.777777,7.299999999999982,76,5,238,-8,-16,1,17.916472867168917,91.134,272.77,37.43267483333333,126.7467015
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:30.833333,7.349999999999982,104,2,178,28,-3,-60,66.27971031922213,91.134,272.77,37.43267483333333,126.7467015
